Store ID ,Daily_Customer_Count,Store_Sales
226,870,92240
227,1220,68230
228,1080,81870
229,540,73860
230,880,77120
231,120,72350
232,1410,49160
233,570,45650
234,940,52780
235,760,90960
236,1200,64950
237,670,47230
238,950,83250
239,480,51950
240,920,66030
241,1150,68590
242,750,47140
243,370,69940
244,610,65890
245,1150,89310
246,1070,58540
247,790,78130
248,1070,92300
249,730,56170
250,620,46050
251,530,43390
252,700,61750
253,680,21830
254,1060,39800
255,670,54370
256,400,62470
257,910,82930
258,760,63720
259,540,79180
260,350,38210
261,980,25950
262,860,56610
263,1020,73710
264,1120,70400
265,1020,50440
266,940,66840
267,970,50170
268,830,60140
269,920,37130
270,660,42890
271,780,26220
272,340,50840
273,1190,25630
274,490,60770
275,1090,69600
276,1040,41740
277,1210,50130
278,1030,21750
279,1170,80490
280,730,34020
281,720,60240
282,500,39460
283,1070,56440
284,800,46840
285,1020,64820
286,1070,52520
287,420,45940
288,510,38970
289,1210,58610
290,660,30810
291,360,47730
292,1210,64640
293,560,44860
294,360,55660
295,970,57530
296,480,75200
297,690,37330
298,710,35280
299,780,70610
300,630,49720
301,220,68850
302,1110,50740
303,720,77070
304,560,74730
305,600,76530
306,440,68900
307,520,44960
308,410,41490
309,590,74320
310,740,73800
311,610,56400
312,540,71570
313,1450,43640
314,620,35120
315,340,58670
316,970,75800
317,1080,76640
318,560,31890
319,630,61670
320,980,75950
321,930,41490
322,470,66170
323,680,37980
324,430,62710
325,830,60470
326,950,35230
327,870,48550
328,730,56810
329,760,41080
330,960,51270
331,860,57500
332,330,81470
333,630,49570
334,1280,45580
335,1440,44660
336,570,76240
337,540,43720
338,480,46700
339,390,84690
340,900,85470
341,290,80410
342,740,46650
343,690,81840
344,950,63590
345,930,50130
346,810,45820
347,760,86710
348,580,49980
349,770,82940
350,1530,40350
351,420,93950
352,1210,47310
353,850,21300
354,1340,62180
355,1160,61460
356,500,54360
357,820,72050
358,670,48090
359,460,27310
360,950,57160
361,980,34190
362,850,35600
363,580,54670
364,620,76730
365,650,63540
366,1130,36690
367,720,87370
368,940,59800
369,920,48030
370,660,96650
371,610,65500
372,1190,55530
373,1340,21650
374,820,31940
375,1130,84690
376,890,68390
377,810,75490
378,680,39200
379,320,85670
380,700,60530
381,940,78090
382,910,50720
383,870,23090
384,1260,91360
385,440,48120
386,980,75620
387,1200,39420
388,890,51130
389,1050,33890
390,610,87170
391,960,38600
392,860,60980
393,800,79410
394,1060,82350
395,600,36740
396,380,27720
397,1140,32260
398,730,53270
399,810,51480
400,1000,59970
401,1220,83600
402,360,63020
403,900,50920
404,750,56450
405,930,89540
406,1180,46030
407,870,75110
408,680,74520
409,1310,102310
410,1000,53400
411,1130,59760
412,990,49540
413,360,51560
414,720,49510
415,950,58610
416,840,68260
417,1120,65310
418,920,52090
419,1240,43860
420,840,74170
421,430,58380
422,810,91200
423,920,90940
424,880,49330
425,1350,53500
426,1000,54590
427,1220,57450
428,430,33240
429,520,80790
430,580,61000
431,460,47620
432,470,72090
433,680,102920
434,950,61970
435,840,61040
436,990,52060
437,520,69570
438,520,66020
439,1070,40000
440,990,79500
441,710,76300
442,430,69030
443,1290,57140
444,1080,41710
445,890,71480
446,1000,33010
447,1290,74570
448,860,49590
449,1010,73170
450,1160,79220
451,880,75880
452,670,67610
453,930,69090
454,990,35220
455,450,53940
456,690,56660
457,650,67520
458,1020,38620
459,880,38890
460,760,79270
461,690,42880
462,630,44240
463,370,43190
464,460,74550
465,770,57090
466,750,56480
467,660,87410
468,730,81370
469,670,97360
470,680,77960
471,960,71240
472,1230,58940
473,800,78950
474,450,36380
475,940,45160
476,1060,69050
477,560,56830
478,860,93530
479,730,46920
480,940,55990
481,920,40840
482,1050,64990
483,380,53550
484,930,51320
485,980,36560
486,580,66050
487,680,52400
488,850,27970
489,730,67100
490,570,43710
491,620,38600
492,890,53890
493,800,52610
494,920,43130
495,920,40300
496,760,49750
497,500,43840
498,680,56820
499,770,36350
500,460,50820
501,1070,83720
502,450,46970
503,310,78020
504,880,45080
505,370,55160
506,760,72020
507,950,64010
508,890,27840
509,800,58070
510,700,51760
511,1050,66050
512,330,65750
513,980,65820
514,1090,46760
515,1140,50940
516,820,56440
517,890,32610
518,650,62770
519,850,63600
520,360,45840
521,780,38280
522,590,50960
523,670,39480
524,340,69610
525,730,47800
526,1210,44890
527,1280,67420
528,710,78870
529,940,70310
530,670,38530
531,800,77570
532,790,59920
533,720,54450
534,1270,50250
535,930,30790
536,1490,35420
537,810,43470
538,600,61000
539,210,64780
540,460,39030
541,740,65900
542,1320,46050
543,760,59070
544,920,44670
545,920,58390
546,880,80370
547,1110,53230
548,1370,72000
549,410,84040
550,850,52540
551,720,63510
552,570,42240
553,690,39580
554,1220,54610
555,840,87330
556,560,88410
557,820,89760
558,700,101780
559,810,70290
560,1070,88210
561,540,87160
562,530,41540
563,580,49170
564,500,63950
565,1200,70810
566,980,49590
567,1000,67290
568,720,51240
569,1030,48540
570,420,72410
571,1070,54370
572,830,94460
573,940,85160
574,550,52130
575,1140,54650
576,750,69320
577,620,51480
578,660,50060
579,660,62180
580,410,79780
581,440,42860
582,630,54410
583,730,69390
584,220,42810
585,610,30840
586,720,56260
587,740,76470
588,740,35680
589,770,90070
590,590,33120
591,1330,54060
592,910,75120
593,330,41600
594,870,20270
595,790,60060
596,1270,82270
597,590,29170
598,1080,68420
599,830,59130
600,910,74330
601,830,77080
602,1380,76250
603,1180,59540
604,770,54690
605,680,84360
606,910,51420
607,540,65120
608,760,49380
609,760,37830
610,730,35980
611,430,69190
612,1000,50590
613,660,60800
614,930,31180
615,760,77790
616,370,47570
617,630,69130
618,360,75970
619,630,68350
620,670,41680
621,690,86560
622,830,81390
623,720,50730
624,520,71290
625,750,70110
626,1070,61590
627,590,69370
628,600,67110
629,380,82020
630,830,62050
631,940,61730
632,560,58660
633,1030,53370
634,730,39700
635,890,53750
636,1140,44730
637,590,49350
638,580,43340
639,310,78090
640,720,54950
641,490,75530
642,1010,57330
643,680,87930
644,1020,56850
645,1050,78430
646,740,63660
647,410,62960
648,770,81870
649,1400,54820
650,860,116320
651,840,57200
652,950,84360
653,940,36530
654,930,81260
655,1060,82350
656,560,80830
657,670,30610
658,540,51310
659,1010,72940
660,1340,52450
661,980,66070
662,630,43190
663,1110,40730
664,700,78530
665,580,94690
666,1050,44400
667,790,73800
668,600,37390
669,440,64120
670,1340,66160
671,1250,22310
672,990,62380
673,290,63850
674,350,36210
675,210,54590
676,810,69610
677,790,65390
678,780,78130
679,730,55710
680,1040,69210
681,760,59940
682,570,72550
683,620,44260
684,310,56910
685,310,82390
686,790,54590
687,490,69990
688,230,72740
689,900,35360
690,640,94370
691,840,43520
692,780,36000
693,480,99480
694,1040,83220
695,870,52940
696,530,93360
697,750,73590
698,840,53840
699,800,47350
700,660,65080
701,560,62050
702,910,30020
703,480,49510
704,700,64320
705,660,35590
706,1170,63050
707,1020,65300
708,580,69560
709,610,41910
710,590,28330
711,190,55980
712,490,61080
713,680,51380
714,670,84410
715,1070,60680
716,1110,64690
717,560,45780
718,1100,41800
719,970,53230
720,930,36160
721,1040,40450
722,1120,57910
723,910,36280
724,440,39190
725,530,62380
726,900,21470
727,740,34610
728,1020,88120
729,970,59190
730,890,36290
731,550,53760
732,520,66300
733,950,93000
734,650,65660
735,860,81930
736,320,60060
737,860,59530
738,900,46380
739,550,76200
740,770,56860
741,710,86620
742,840,49730
743,860,88370
744,870,49160
745,660,77740
746,930,38560
747,1020,51990
748,1190,39970
749,1140,46040
750,490,49500
751,1170,76670
752,480,75800
753,930,81720
754,890,58440
755,680,85720
756,740,70940
757,990,62420
758,680,56880
759,820,101820
760,440,86890
761,900,47300
762,1080,31270
763,830,65410
764,310,54200
765,730,67390
766,740,54530
767,960,79760
768,790,78060
769,700,74080
770,750,52990
771,590,70580
772,570,34310
773,660,74160
774,700,59190
775,1070,43370
776,660,17670
777,840,56710
778,850,59820
779,600,36190
780,710,60440
781,450,75300
782,740,74080
783,1240,60440
784,570,80720
785,580,47060
786,450,86830
787,790,56790
788,1040,67090
789,670,44370
790,370,82970
791,620,56230
792,1010,53760
793,550,55390
794,800,73500
795,610,41050
796,1090,67320
797,700,65890
798,830,56380
799,850,85670
800,1260,70830
801,1030,48180
802,1160,51910
803,880,44320
804,420,58940
805,770,73610
806,910,54060
807,1110,85000
808,510,49030
809,780,63300
810,790,84300
811,1090,81390
812,1270,95900
813,1260,71830
814,330,79310
815,540,87890
816,720,48610
817,670,73160
818,770,36280
819,860,49720
820,410,44400
821,900,47590
822,480,51460
823,540,57750
824,760,66000
825,280,45950
826,1120,53900
827,160,37920
828,620,63100
829,440,36770
830,870,43910
831,900,66390
832,710,59160
833,590,38510
834,910,46220
835,1320,41500
836,1000,58160
837,670,38530
838,610,55880
839,1050,70940
840,480,53940
841,770,43030
842,340,59820
843,580,55500
844,900,49990
845,700,42980
846,860,65970
847,540,59290
848,970,63020
849,1560,73810
850,790,70230
851,1020,59950
852,790,78100
853,880,16370
854,550,92640
855,550,63540
856,950,87220
857,810,41990
858,390,79410
859,860,54380
860,850,58600
861,660,48950
862,830,40670
863,640,52340
864,750,39140
865,1170,41090
866,790,25600
867,900,100900
868,370,77080
869,980,105150
870,1170,80580
871,800,46230
872,1100,98260
873,1070,75930
874,830,52050
875,1210,87000
876,540,60270
877,100,88270
878,820,57820
879,1210,61210
880,810,76420
881,780,70980
882,1160,76740
883,590,47920
884,1140,52160
885,690,32740
886,560,72270
887,1150,77430
888,140,92370
889,670,34880
890,650,46580
891,1220,70620
892,1080,66390
893,850,82080
894,1060,76440
895,770,96610
896,1110,54340
