CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
228,Male,35,28,61
229,Female,40,29,31
230,Female,23,29,87
231,Male,60,30,4
232,Female,21,30,73
233,Male,53,33,4
234,Male,18,33,92
235,Female,49,33,14
236,Female,21,33,81
237,Female,42,34,17
238,Female,30,34,73
239,Female,36,37,26
240,Female,20,37,75
241,Female,65,38,35
242,Male,24,38,92
243,Male,48,39,36
244,Female,31,39,61
245,Female,49,39,28
246,Female,24,39,65
247,Female,50,40,55
248,Female,27,40,47
249,Female,29,40,42
250,Female,31,40,42
251,Female,49,42,52
252,Male,33,42,60
253,Female,31,43,54
254,Male,59,43,60
255,Female,50,43,45
256,Male,47,43,41
257,Female,51,44,50
258,Male,69,44,46
259,Female,27,46,51
260,Male,53,46,46
261,Male,70,46,56
262,Male,19,46,55
263,Female,67,47,52
264,Female,54,47,59
265,Male,63,48,51
266,Male,18,48,59
267,Female,43,48,50
268,Female,68,48,48
269,Male,19,48,59
270,Female,32,48,47
271,Male,70,49,55
272,Female,47,49,42
273,Female,60,50,49
274,Female,60,50,56
275,Male,59,54,47
276,Male,26,54,54
277,Female,45,54,53
278,Male,40,54,48
279,Female,23,54,52
280,Female,49,54,42
281,Male,57,54,51
282,Male,38,54,55
283,Male,67,54,41
284,Female,46,54,44
285,Female,21,54,57
286,Male,48,54,46
287,Female,55,57,58
288,Female,22,57,55
289,Female,34,58,60
290,Female,50,58,46
291,Female,68,59,55
292,Male,18,59,41
293,Male,48,60,49
294,Female,40,60,40
295,Female,32,60,42
296,Male,24,60,52
297,Female,47,60,47
298,Female,27,60,50
299,Male,48,61,42
300,Male,20,61,49
301,Female,23,62,41
302,Female,49,62,48
303,Male,67,62,59
304,Male,26,62,55
305,Male,49,62,56
306,Female,21,62,42
307,Female,66,63,50
308,Male,54,63,46
309,Male,68,63,43
310,Male,66,63,48
311,Male,65,63,52
312,Female,19,63,54
313,Female,38,64,42
314,Male,19,64,46
315,Female,18,65,48
316,Female,19,65,50
317,Female,63,65,43
318,Female,49,65,59
319,Female,51,67,43
320,Female,50,67,57
321,Male,27,67,56
322,Female,38,67,40
323,Female,40,69,58
324,Male,39,69,91
325,Female,23,70,29
326,Female,31,70,77
327,Male,43,71,35
328,Male,40,71,95
329,Male,59,71,11
330,Male,38,71,75
331,Male,47,71,9
332,Male,39,71,75
333,Female,25,72,34
334,Female,31,72,71
335,Male,20,73,5
336,Female,29,73,88
337,Female,44,73,7
338,Male,32,73,73
339,Male,19,74,10
340,Female,35,74,72
341,Female,57,75,5
342,Male,32,75,93
343,Female,28,76,40
344,Female,32,76,87
345,Male,25,77,12
346,Male,28,77,97
347,Male,48,77,36
348,Female,32,77,74
349,Female,34,78,22
350,Male,34,78,90
351,Male,43,78,17
352,Male,39,78,88
353,Female,44,78,20
354,Female,38,78,76
355,Female,47,78,16
356,Female,27,78,89
357,Male,37,78,1
358,Female,30,78,78
359,Male,34,78,1
360,Female,30,78,73
361,Female,56,79,35
362,Female,29,79,83
363,Male,19,81,5
364,Female,31,81,93
365,Male,50,85,26
366,Female,36,85,75
367,Male,42,86,20
368,Female,33,86,95
369,Female,36,87,27
370,Male,32,87,63
371,Male,40,87,13
372,Male,28,87,75
373,Male,36,87,10
374,Male,36,87,92
375,Female,52,88,13
376,Female,30,88,86
377,Male,58,88,15
378,Male,27,88,69
379,Male,59,93,14
380,Male,35,93,90
381,Female,37,97,32
382,Female,32,97,86
383,Male,46,98,15
384,Female,29,98,88
385,Female,41,99,39
386,Male,30,99,97
387,Female,54,101,24
388,Male,28,101,68
389,Female,41,103,17
390,Female,36,103,85
391,Female,34,103,23
392,Female,32,103,69
393,Male,33,113,8
394,Female,38,113,91
395,Female,47,120,16
396,Female,35,120,79
397,Female,45,126,28
398,Male,32,126,74
399,Male,32,137,18
400,Male,30,137,83
401,Male,19,15,39
402,Male,21,15,81
403,Female,20,16,6
404,Female,23,16,77
405,Female,31,17,40
406,Female,22,17,76
407,Female,35,18,6
408,Female,23,18,94
409,Male,64,19,3
410,Female,30,19,72
411,Male,67,19,14
412,Female,35,19,99
413,Female,58,20,15
414,Female,24,20,77
415,Male,37,20,13
416,Male,22,20,79
417,Female,35,21,35
418,Male,20,21,66
419,Male,52,23,29
420,Female,35,23,98
421,Male,35,24,35
422,Male,25,24,73
423,Female,46,25,5
424,Male,31,25,73
425,Female,54,28,14
426,Male,29,28,82
427,Female,45,28,32
428,Male,35,28,61
429,Female,40,29,31
430,Female,23,29,87
431,Male,60,30,4
432,Female,21,30,73
433,Male,53,33,4
434,Male,18,33,92
435,Female,49,33,14
436,Female,21,33,81
437,Female,42,34,17
438,Female,30,34,73
439,Female,36,37,26
440,Female,20,37,75
441,Female,65,38,35
442,Male,24,38,92
443,Male,48,39,36
444,Female,31,39,61
445,Female,49,39,28
446,Female,24,39,65
447,Female,50,40,55
448,Female,27,40,47
449,Female,29,40,42
450,Female,31,40,42
451,Female,49,42,52
452,Male,33,42,60
453,Female,31,43,54
454,Male,59,43,60
455,Female,50,43,45
456,Male,47,43,41
457,Female,51,44,50
458,Male,69,44,46
459,Female,27,46,51
460,Male,53,46,46
461,Male,70,46,56
462,Male,19,46,55
463,Female,67,47,52
464,Female,54,47,59
465,Male,63,48,51
466,Male,18,48,59
467,Female,43,48,50
468,Female,68,48,48
469,Male,19,48,59
470,Female,32,48,47
471,Male,70,49,55
472,Female,47,49,42
473,Female,60,50,49
474,Female,60,50,56
475,Male,59,54,47
476,Male,26,54,54
477,Female,45,54,53
478,Male,40,54,48
479,Female,23,54,52
480,Female,49,54,42
481,Male,57,54,51
482,Male,38,54,55
483,Male,67,54,41
484,Female,46,54,44
485,Female,21,54,57
486,Male,48,54,46
487,Female,55,57,58
488,Female,22,57,55
489,Female,34,58,60
490,Female,50,58,46
491,Female,68,59,55
492,Male,18,59,41
493,Male,48,60,49
494,Female,40,60,40
495,Female,32,60,42
496,Male,24,60,52
497,Female,47,60,47
498,Female,27,60,50
499,Male,48,61,42
500,Male,20,61,49
501,Female,23,62,41
502,Female,49,62,48
503,Male,67,62,59
504,Male,26,62,55
505,Male,49,62,56
506,Female,21,62,42
507,Female,66,63,50
508,Male,54,63,46
509,Male,68,63,43
510,Male,66,63,48
511,Male,65,63,52
512,Female,19,63,54
513,Female,38,64,42
514,Male,19,64,46
515,Female,18,65,48
516,Female,19,65,50
517,Female,63,65,43
518,Female,49,65,59
519,Female,51,67,43
520,Female,50,67,57
521,Male,27,67,56
522,Female,38,67,40
523,Female,40,69,58
524,Male,39,69,91
525,Female,23,70,29
526,Female,31,70,77
527,Male,43,71,35
528,Male,40,71,95
529,Male,59,71,11
530,Male,38,71,75
531,Male,47,71,9
532,Male,39,71,75
533,Female,25,72,34
534,Female,31,72,71
535,Male,20,73,5
536,Female,29,73,88
537,Female,44,73,7
538,Male,32,73,73
539,Male,19,74,10
540,Female,35,74,72
541,Female,57,75,5
542,Male,32,75,93
543,Female,28,76,40
544,Female,32,76,87
545,Male,25,77,12
546,Male,28,77,97
547,Male,48,77,36
548,Female,32,77,74
549,Female,34,78,22
550,Male,34,78,90
551,Male,43,78,17
552,Male,39,78,88
553,Female,44,78,20
554,Female,38,78,76
555,Female,47,78,16
556,Female,27,78,89
557,Male,37,78,1
558,Female,30,78,78
559,Male,34,78,1
560,Female,30,78,73
561,Female,56,79,35
562,Female,29,79,83
563,Male,19,81,5
564,Female,31,81,93
565,Male,50,85,26
566,Female,36,85,75
567,Male,42,86,20
568,Female,33,86,95
569,Female,36,87,27
570,Male,32,87,63
571,Male,40,87,13
572,Male,28,87,75
573,Male,36,87,10
574,Male,36,87,92
575,Female,52,88,13
576,Female,30,88,86
577,Male,58,88,15
578,Male,27,88,69
579,Male,59,93,14
580,Male,35,93,90
581,Female,37,97,32
582,Female,32,97,86
583,Male,46,98,15
584,Female,29,98,88
585,Female,41,99,39
586,Male,30,99,97
587,Female,54,101,24
588,Male,28,101,68
589,Female,41,103,17
590,Female,36,103,85
591,Female,34,103,23
592,Female,32,103,69
593,Male,33,113,8
594,Female,38,113,91
595,Female,47,120,16
596,Female,35,120,79
597,Female,45,126,28
598,Male,32,126,74
599,Male,32,137,18
600,Male,30,137,83
601,Male,19,15,39
602,Male,21,15,81
603,Female,20,16,6
604,Female,23,16,77
605,Female,31,17,40
606,Female,22,17,76
607,Female,35,18,6
608,Female,23,18,94
609,Male,64,19,3
610,Female,30,19,72
611,Male,67,19,14
612,Female,35,19,99
613,Female,58,20,15
614,Female,24,20,77
615,Male,37,20,13
616,Male,22,20,79
617,Female,35,21,35
618,Male,20,21,66
619,Male,52,23,29
620,Female,35,23,98
621,Male,35,24,35
622,Male,25,24,73
623,Female,46,25,5
624,Male,31,25,73
625,Female,54,28,14
626,Male,29,28,82
627,Female,45,28,32
628,Male,35,28,61
629,Female,40,29,31
630,Female,23,29,87
631,Male,60,30,4
632,Female,21,30,73
633,Male,53,33,4
634,Male,18,33,92
635,Female,49,33,14
636,Female,21,33,81
637,Female,42,34,17
638,Female,30,34,73
639,Female,36,37,26
640,Female,20,37,75
641,Female,65,38,35
642,Male,24,38,92
643,Male,48,39,36
644,Female,31,39,61
645,Female,49,39,28
646,Female,24,39,65
647,Female,50,40,55
648,Female,27,40,47
649,Female,29,40,42
650,Female,31,40,42
651,Female,49,42,52
652,Male,33,42,60
653,Female,31,43,54
654,Male,59,43,60
655,Female,50,43,45
656,Male,47,43,41
657,Female,51,44,50
658,Male,69,44,46
659,Female,27,46,51
660,Male,53,46,46
661,Male,70,46,56
662,Male,19,46,55
663,Female,67,47,52
664,Female,54,47,59
665,Male,63,48,51
666,Male,18,48,59
667,Female,43,48,50
668,Female,68,48,48
669,Male,19,48,59
670,Female,32,48,47
671,Male,70,49,55
672,Female,47,49,42
673,Female,60,50,49
674,Female,60,50,56
675,Male,59,54,47
676,Male,26,54,54
677,Female,45,54,53
678,Male,40,54,48
679,Female,23,54,52
680,Female,49,54,42
681,Male,57,54,51
682,Male,38,54,55
683,Male,67,54,41
684,Female,46,54,44
685,Female,21,54,57
686,Male,48,54,46
687,Female,55,57,58
688,Female,22,57,55
689,Female,34,58,60
690,Female,50,58,46
691,Female,68,59,55
692,Male,18,59,41
693,Male,48,60,49
694,Female,40,60,40
695,Female,32,60,42
696,Male,24,60,52
697,Female,47,60,47
698,Female,27,60,50
699,Male,48,61,42
700,Male,20,61,49
701,Female,23,62,41
702,Female,49,62,48
703,Male,67,62,59
704,Male,26,62,55
705,Male,49,62,56
706,Female,21,62,42
707,Female,66,63,50
708,Male,54,63,46
709,Male,68,63,43
710,Male,66,63,48
711,Male,65,63,52
712,Female,19,63,54
713,Female,38,64,42
714,Male,19,64,46
715,Female,18,65,48
716,Female,19,65,50
717,Female,63,65,43
718,Female,49,65,59
719,Female,51,67,43
720,Female,50,67,57
721,Male,27,67,56
722,Female,38,67,40
723,Female,40,69,58
724,Male,39,69,91
725,Female,23,70,29
726,Female,31,70,77
727,Male,43,71,35
728,Male,40,71,95
729,Male,59,71,11
730,Male,38,71,75
731,Male,47,71,9
732,Male,39,71,75
733,Female,25,72,34
734,Female,31,72,71
735,Male,20,73,5
736,Female,29,73,88
737,Female,44,73,7
738,Male,32,73,73
739,Male,19,74,10
740,Female,35,74,72
741,Female,57,75,5
742,Male,32,75,93
743,Female,28,76,40
744,Female,32,76,87
745,Male,25,77,12
746,Male,28,77,97
747,Male,48,77,36
748,Female,32,77,74
749,Female,34,78,22
750,Male,34,78,90
751,Male,43,78,17
752,Male,39,78,88
753,Female,44,78,20
754,Female,38,78,76
755,Female,47,78,16
756,Female,27,78,89
757,Male,37,78,1
758,Female,30,78,78
759,Male,34,78,1
760,Female,30,78,73
761,Female,56,79,35
762,Female,29,79,83
763,Male,19,81,5
764,Female,31,81,93
765,Male,50,85,26
766,Female,36,85,75
767,Male,42,86,20
768,Female,33,86,95
769,Female,36,87,27
770,Male,32,87,63
771,Male,40,87,13
772,Male,28,87,75
773,Male,36,87,10
774,Male,36,87,92
775,Female,52,88,13
776,Female,30,88,86
777,Male,58,88,15
778,Male,27,88,69
779,Male,59,93,14
780,Male,35,93,90
781,Female,37,97,32
782,Female,32,97,86
783,Male,46,98,15
784,Female,29,98,88
785,Female,41,99,39
786,Male,30,99,97
787,Female,54,101,24
788,Male,28,101,68
789,Female,41,103,17
790,Female,36,103,85
791,Female,34,103,23
792,Female,32,103,69
793,Male,33,113,8
794,Female,38,113,91
795,Female,47,120,16
796,Female,35,120,79
797,Female,45,126,28
798,Male,32,126,74
799,Male,32,137,18
800,Male,30,137,83
801,Male,19,15,39
802,Male,21,15,81
803,Female,20,16,6
804,Female,23,16,77
805,Female,31,17,40
806,Female,22,17,76
807,Female,35,18,6
808,Female,23,18,94
809,Male,64,19,3
810,Female,30,19,72
811,Male,67,19,14
812,Female,35,19,99
813,Female,58,20,15
814,Female,24,20,77
815,Male,37,20,13
816,Male,22,20,79
817,Female,35,21,35
818,Male,20,21,66
819,Male,52,23,29
820,Female,35,23,98
821,Male,35,24,35
822,Male,25,24,73
823,Female,46,25,5
824,Male,31,25,73
825,Female,54,28,14
826,Male,29,28,82
827,Female,45,28,32
828,Male,35,28,61
829,Female,40,29,31
830,Female,23,29,87
831,Male,60,30,4
832,Female,21,30,73
833,Male,53,33,4
834,Male,18,33,92
835,Female,49,33,14
836,Female,21,33,81
837,Female,42,34,17
838,Female,30,34,73
839,Female,36,37,26
840,Female,20,37,75
841,Female,65,38,35
842,Male,24,38,92
843,Male,48,39,36
844,Female,31,39,61
845,Female,49,39,28
846,Female,24,39,65
847,Female,50,40,55
848,Female,27,40,47
849,Female,29,40,42
850,Female,31,40,42
851,Female,49,42,52
852,Male,33,42,60
853,Female,31,43,54
854,Male,59,43,60
855,Female,50,43,45
856,Male,47,43,41
857,Female,51,44,50
858,Male,69,44,46
859,Female,27,46,51
860,Male,53,46,46
861,Male,70,46,56
862,Male,19,46,55
863,Female,67,47,52
864,Female,54,47,59
865,Male,63,48,51
866,Male,18,48,59
867,Female,43,48,50
868,Female,68,48,48
869,Male,19,48,59
870,Female,32,48,47
871,Male,70,49,55
872,Female,47,49,42
873,Female,60,50,49
874,Female,60,50,56
875,Male,59,54,47
876,Male,26,54,54
877,Female,45,54,53
878,Male,40,54,48
879,Female,23,54,52
880,Female,49,54,42
881,Male,57,54,51
882,Male,38,54,55
883,Male,67,54,41
884,Female,46,54,44
885,Female,21,54,57
886,Male,48,54,46
887,Female,55,57,58
888,Female,22,57,55
889,Female,34,58,60
890,Female,50,58,46
891,Female,68,59,55
892,Male,18,59,41
893,Male,48,60,49
894,Female,40,60,40
895,Female,32,60,42
896,Male,24,60,52
