Store ID ,Store_Area,Items_Available
619,1503,1791
620,1501,1789
621,1971,2342
622,1383,1687
623,1371,1635
624,1508,1823
625,1057,1284
626,1411,1680
627,1466,1746
628,1545,1888
629,2044,2408
630,1887,2264
631,1505,1836
632,1422,1722
633,1564,1869
634,1510,1810
635,1568,1920
636,1933,2338
637,1501,1822
638,1593,1911
639,1812,2189
640,1580,1895
641,1440,1749
642,1100,1331
643,1534,1841
644,1299,1555
645,1767,2121
646,1368,1649
647,1393,1670
648,1327,1590
649,1514,1794
650,1989,2414
651,1334,1584
652,1533,1817
653,1809,2145
654,1607,1933
655,1165,1387
656,1193,1430
657,1709,2065
658,1525,1839
659,1348,1623
660,1132,1366
661,1667,2020
662,1427,1720
663,1211,1447
664,1717,2048
665,1766,2111
666,1086,1299
667,1410,1692
668,1476,1760
669,1068,1278
670,1485,1785
671,1461,1739
672,1685,2010
673,1624,1958
674,1658,2000
675,1427,1677
676,1755,2072
677,1211,1472
678,1591,1896
679,1797,2126
680,1519,1823
681,1637,1958
682,1451,1750
683,1203,1446
684,1884,2262
685,1540,1820
686,1121,1332
687,1307,1562
688,1475,1775
689,1160,1401
690,1078,1276
691,1191,1436
692,1317,1569
693,1548,1858
694,1560,1883
695,1297,1529
696,1645,1958
697,1225,1455
698,1421,1704
699,1655,1956
700,1615,1928
701,1872,2262
702,1317,1581
703,1434,1729
704,1791,2167
705,932,1120
706,1609,1924
707,1495,1793
708,1769,2153
709,1693,2032
710,1247,1497
711,1502,1815
712,1360,1612
713,1542,1844
714,1631,1947
715,1246,1482
716,1990,2384
717,967,1154
718,1582,1894
719,1430,1743
720,1827,2160
721,1118,1338
722,1766,2109
723,1799,2173
724,1167,1411
725,1493,1795
726,1445,1734
727,1033,1237
728,1440,1711
729,1487,1773
730,1854,2205
731,1748,2086
732,1937,2310
733,1641,1999
734,1659,1999
735,1743,2061
736,1449,1733
737,1098,1309
738,1121,1351
739,1526,1858
740,1358,1645
741,1336,1616
742,1502,1802
743,1534,1858
744,1418,1699
745,854,1018
746,1450,1728
747,1474,1776
748,1524,1819
749,1361,1638
750,1398,1683
751,1085,1308
752,1660,1979
753,1648,2017
754,1453,1749
755,1323,1591
756,1385,1643
757,1250,1506
758,1389,1683
759,1486,1758
760,1655,1993
761,1645,1963
762,1464,1771
763,1197,1428
764,1878,2264
765,1150,1378
766,1562,1881
767,1596,1939
768,1119,1345
769,1116,1347
770,1934,2349
771,1299,1540
772,1417,1689
773,1235,1503
774,1497,1815
775,1430,1704
776,1537,1877
777,1444,1742
778,1477,1798
779,1041,1246
780,1226,1472
781,1489,1783
782,1549,1871
783,1073,1280
784,1473,1785
785,2013,2396
786,1975,2368
787,1561,1877
788,1427,1723
789,1441,1747
790,1275,1548
791,1574,1876
792,1511,1791
793,1428,1713
794,1388,1672
795,1057,1280
796,1440,1747
797,1349,1610
798,1536,1808
799,2019,2420
800,1236,1508
801,1436,1715
802,1862,2248
803,1200,1442
804,1360,1650
805,1722,2078
806,1577,1902
807,1850,2214
808,1447,1730
809,1496,1800
810,1679,2008
811,994,1194
812,1354,1635
813,1597,1918
814,1873,2252
815,1218,1459
816,1458,1746
817,1546,1860
818,1608,1962
819,1822,2160
820,1716,2038
821,1072,1296
822,1330,1604
823,1588,1892
824,1425,1733
825,1778,2133
826,1363,1630
827,1609,1928
828,1671,2024
829,1379,1636
830,1218,1452
831,1724,2101
832,986,1179
833,1330,1606
834,1437,1725
835,1327,1609
836,1651,2009
837,1211,1462
838,1916,2277
839,1638,1937
840,1172,1413
841,1350,1606
842,1528,1843
843,1305,1557
844,1463,1751
845,1409,1727
846,1419,1743
847,1535,1819
848,1474,1745
849,919,1099
850,2067,2492
851,1977,2362
852,1293,1558
853,1477,1790
854,1582,1906
855,1481,1789
856,1214,1455
857,1206,1460
858,1653,1982
859,1152,1393
860,1458,1757
861,1249,1510
862,1939,2333
863,1591,1919
864,1180,1397
865,1846,2195
866,780,951
867,1565,1854
868,1648,1959
869,1775,2104
870,1439,1732
871,1487,1776
872,1800,2158
873,1690,2024
874,1209,1452
875,1859,2222
876,1691,2023
877,1259,1493
878,1771,2138
879,1205,1468
880,1792,2131
881,1263,1516
882,1344,1605
883,1819,2187
884,1357,1625
885,1396,1673
886,1118,1337
887,1655,1986
888,1156,1398
889,1451,1734
890,1539,1829
891,1549,1851
892,1582,1910
893,1387,1663
894,1200,1436
895,1299,1560
896,1174,1429
